id,rating_agency_name,file_creating_date,issued_paid,rating,rating_action_date,rating_action_class,obligor_sec_category,obligor_name,Ticker
1200,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,2/14/2011,HS,Corporate,Danone SA,DRI
1203,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/4/2012,WO,Corporate,Gymboree Corporation,HK
1204,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B,11/15/2010,HS,Corporate,Gymboree Corporation,HK
1205,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,10/29/2013,WO,Corporate,HJ Heinz Co,HFC
1206,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,4/6/2010,HS,Corporate,HJ Heinz Co,HFC
1207,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,5/24/2016,DG,Corporate,Halliburton Co,HBI
1208,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,10/4/2012,UP,Corporate,Halliburton Co,HBI
1209,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,3/9/2010,HS,Corporate,Halliburton Co,HBI
1210,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,9/29/2015,WO,Corporate,Harley-Davidson Inc,HAS
1211,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,9/24/2010,HS,Corporate,Harley-Davidson Inc,HAS
1213,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,11/30/2018,WO,Corporate,HCA Healthcare Inc,HCP
1214,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB+,4/16/2018,UP,Corporate,HCA Healthcare Inc,HCP
1215,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BB,4/13/2016,UP,Corporate,HCA Healthcare Inc,HCP
1216,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,B+,10/12/2012,HS,Corporate,HCA Healthcare Inc,HCP
1217,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,3/26/2013,WO,Corporate,HCP Inc,HNT
1218,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,6/20/2011,HS,Corporate,HCP Inc,HNT
1224,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/25/2018,WO,Corporate,Heineken NV,HES
1225,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A-,12/15/2010,HS,Corporate,Heineken NV,HES
1228,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,5/18/2018,WO,Corporate,HP Inc,HSBC
1229,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB,10/8/2015,DG,Corporate,HP Inc,HSBC
1230,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,10/19/2012,DG,Corporate,HP Inc,HSBC
1231,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,A,9/1/2011,DG,Corporate,HP Inc,HSBC
1232,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,AA-,12/18/2009,HS,Corporate,HP Inc,HSBC
1234,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,WO,4/2/2015,WO,Corporate,HollyFrontier Corp,HOLX
1235,"Morningstar Credit Ratings, LLC.",1/17/2019,FALSE,BBB+,6/27/2013,UP,Corporate,HollyFrontier Corp,HOLX
